,AnimeTitle,ID,Status,URL
0,001,29978,Completed,https://myanimelist.net/anime/29978
1,00:08,28761,Completed,https://myanimelist.net/anime/28761
2,100-man no Inochi no Ue ni Ore wa Tatteiru,41380,Completed,https://myanimelist.net/anime/41380
3,100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,44881,Completed,https://myanimelist.net/anime/44881
4,2.43: Seiin Koukou Danshi Volley-bu,40679,Completed,https://myanimelist.net/anime/40679
5,22/7,40148,Completed,https://myanimelist.net/anime/40148
6,22/7: 8＋3=?,40924,Completed,https://myanimelist.net/anime/40924
7,3-gatsu no Lion,31646,Completed,https://myanimelist.net/anime/31646
8,3-gatsu no Lion 2nd Season,35180,Completed,https://myanimelist.net/anime/35180
9,3D Kanojo: Real Girl,36793,Completed,https://myanimelist.net/anime/36793
10,3D Kanojo: Real Girl 2nd Season,37956,Completed,https://myanimelist.net/anime/37956
11,4-nin wa Sorezore Uso wo Tsuku,51464,Watching,https://myanimelist.net/anime/51464
12,5-toubun no Hanayome,38101,Completed,https://myanimelist.net/anime/38101
13,5-toubun no Hanayome ∬,39783,Completed,https://myanimelist.net/anime/39783
14,5-toubun no Hanayome Movie,48548,Completed,https://myanimelist.net/anime/48548
15,86,41457,Completed,https://myanimelist.net/anime/41457
16,86 Part 2,48569,Completed,https://myanimelist.net/anime/48569
17,Accel World,11759,Completed,https://myanimelist.net/anime/11759
18,Accel World EX,13939,Completed,https://myanimelist.net/anime/13939
19,Accel World: Acchel World.,13859,Completed,https://myanimelist.net/anime/13859
20,Accel World: Infinite∞Burst,31763,Completed,https://myanimelist.net/anime/31763
21,Adachi to Shimamura,39790,Completed,https://myanimelist.net/anime/39790
22,Akame ga Kill!,22199,Completed,https://myanimelist.net/anime/22199
23,Akanesasu Shoujo,37561,Completed,https://myanimelist.net/anime/37561
24,Akatsuki no Yona,25013,Completed,https://myanimelist.net/anime/25013
25,Akatsuki no Yona OVA,30370,Completed,https://myanimelist.net/anime/30370
26,Akiba Meido Sensou,52193,Watching,https://myanimelist.net/anime/52193
27,Akira,47,Completed,https://myanimelist.net/anime/47
28,Akkun to Kanojo,36864,Completed,https://myanimelist.net/anime/36864
29,Akudama Drive,41433,Completed,https://myanimelist.net/anime/41433
30,Akuyaku Reijou nano de Last Boss wo Kattemimashita,49979,Watching,https://myanimelist.net/anime/49979
31,Aldnoah.Zero,22729,Completed,https://myanimelist.net/anime/22729
32,Aldnoah.Zero Part 2,27655,Completed,https://myanimelist.net/anime/27655
33,Alice in Deadly School,33839,Completed,https://myanimelist.net/anime/33839
34,Ame wo Tsugeru Hyouryuu Danchi,49938,Completed,https://myanimelist.net/anime/49938
35,Ange Vierge,32171,Completed,https://myanimelist.net/anime/32171
36,Angel Beats!,6547,Completed,https://myanimelist.net/anime/6547
37,Angel Beats! Another Epilogue,10067,Completed,https://myanimelist.net/anime/10067
38,Angel Beats! Specials,9062,Completed,https://myanimelist.net/anime/9062
39,Anima Yell!,37206,Completed,https://myanimelist.net/anime/37206
40,Anima Yell! Ouen Douga,38803,Completed,https://myanimelist.net/anime/38803
41,Another,11111,Completed,https://myanimelist.net/anime/11111
42,Another: The Other - Inga,11701,Completed,https://myanimelist.net/anime/11701
43,Ansatsu Kyoushitsu,24833,Completed,https://myanimelist.net/anime/24833
44,Ansatsu Kyoushitsu 2nd Season,30654,Completed,https://myanimelist.net/anime/30654
45,Ansatsu Kyoushitsu: 365-nichi no Jikan,33513,Completed,https://myanimelist.net/anime/33513
46,Ansatsu Kyoushitsu: Deai no Jikan,28405,Completed,https://myanimelist.net/anime/28405
47,Ansatsu Kyoushitsu: Jump Festa 2013 Special,19759,Completed,https://myanimelist.net/anime/19759
48,Answer (2016),34611,Completed,https://myanimelist.net/anime/34611
49,Appare-Ranman!,40532,Completed,https://myanimelist.net/anime/40532
50,Araburu Kisetsu no Otome-domo yo.,38753,Completed,https://myanimelist.net/anime/38753
51,Aragne no Mushikago,34974,Completed,https://myanimelist.net/anime/34974
52,Arifureta Shokugyou de Sekai Saikyou,36882,Completed,https://myanimelist.net/anime/36882
53,Arifureta Shokugyou de Sekai Saikyou Recap,40239,Completed,https://myanimelist.net/anime/40239
54,Arifureta Shokugyou de Sekai Saikyou Specials,40083,Completed,https://myanimelist.net/anime/40083
55,Arslan Senki (TV),28249,Completed,https://myanimelist.net/anime/28249
56,Arslan Senki (TV) Gaiden,33254,Completed,https://myanimelist.net/anime/33254
57,Arslan Senki (TV): Fuujin Ranbu,31821,Completed,https://myanimelist.net/anime/31821
58,Arslan Senki (TV): Tsuioku no Shou - Dakkan no Yaiba,31128,Completed,https://myanimelist.net/anime/31128
59,Arte,40128,Completed,https://myanimelist.net/anime/40128
60,Aru Asa Dummy Head Mic ni Natteita Ore-kun no Jinsei,52381,Watching,https://myanimelist.net/anime/52381
61,Asagao to Kase-san.,36214,Completed,https://myanimelist.net/anime/36214
62,Asatir: Mirai no Mukashi Banashi,41558,Completed,https://myanimelist.net/anime/41558
63,Asobi Asobase,37171,Completed,https://myanimelist.net/anime/37171
64,Asobi Asobase Specials,38002,Completed,https://myanimelist.net/anime/38002
65,Asobi Asobase: Cosplay Taikai/Otona no Watashi e,37996,Completed,https://myanimelist.net/anime/37996
66,Assassins Pride,38572,Completed,https://myanimelist.net/anime/38572
67,Assault Lily: Bouquet,40550,Completed,https://myanimelist.net/anime/40550
68,Azur Lane,38328,Completed,https://myanimelist.net/anime/38328
69,Azur Lane Recap,40712,Completed,https://myanimelist.net/anime/40712
70,Azur Lane: Bisoku Zenshin!,40930,Completed,https://myanimelist.net/anime/40930
71,B: The Beginning,32827,Completed,https://myanimelist.net/anime/32827
72,Babylon,37525,Completed,https://myanimelist.net/anime/37525
73,Back Arrow,40964,Completed,https://myanimelist.net/anime/40964
74,Back Street Girls: Gokudolls,36873,Completed,https://myanimelist.net/anime/36873
75,Bakemono no Ko,28805,Completed,https://myanimelist.net/anime/28805
76,Bakuten!!,43756,Completed,https://myanimelist.net/anime/43756
77,Ballroom e Youkoso,34636,Completed,https://myanimelist.net/anime/34636
78,Banana Fish,36649,Completed,https://myanimelist.net/anime/36649
79,Beastars,39195,Completed,https://myanimelist.net/anime/39195
80,Beastars 2nd Season,40935,Completed,https://myanimelist.net/anime/40935
81,Beatless,36516,Completed,https://myanimelist.net/anime/36516
82,Beatless Final Stage,38020,Completed,https://myanimelist.net/anime/38020
83,Beatless Intermission,37277,Completed,https://myanimelist.net/anime/37277
84,Beelzebub-jou no Okinimesu mama.,37716,Completed,https://myanimelist.net/anime/37716
85,Bem,39221,Completed,https://myanimelist.net/anime/39221
86,Bem Movie: Become Human,42129,Completed,https://myanimelist.net/anime/42129
87,Bessatsu Olympia Kyklos,41266,Completed,https://myanimelist.net/anime/41266
88,Bible Black,368,Completed,https://myanimelist.net/anime/368
89,Bible Black: New Testament,1401,Completed,https://myanimelist.net/anime/1401
90,Birthday Wonderland,38985,Completed,https://myanimelist.net/anime/38985
91,Bishounen Tanteidan,40752,Completed,https://myanimelist.net/anime/40752
92,Black Bullet,20787,Completed,https://myanimelist.net/anime/20787
93,Black Fox,37498,Completed,https://myanimelist.net/anime/37498
94,Black Lagoon,889,Completed,https://myanimelist.net/anime/889
95,Black Lagoon Omake,8440,Completed,https://myanimelist.net/anime/8440
96,Black Lagoon: Roberta's Blood Trail,4901,Completed,https://myanimelist.net/anime/4901
97,Black Lagoon: The Second Barrage,1519,Completed,https://myanimelist.net/anime/1519
98,Blossom,13253,Completed,https://myanimelist.net/anime/13253
99,Blue Lock,49596,Watching,https://myanimelist.net/anime/49596
100,Blue Reflection Ray,47639,Completed,https://myanimelist.net/anime/47639
101,BNA,40060,Completed,https://myanimelist.net/anime/40060
102,Bocchi the Rock!,47917,Watching,https://myanimelist.net/anime/47917
103,Boku dake ga Inai Machi,31043,Completed,https://myanimelist.net/anime/31043
104,Boku dake ga Inai Machi Recaps,35815,Completed,https://myanimelist.net/anime/35815
105,Boku no Pico,1639,Completed,https://myanimelist.net/anime/1639
106,Boku no Tonari ni Ankoku Hakaishin ga Imasu.,38302,Completed,https://myanimelist.net/anime/38302
107,Bokura no Nanokakan Sensou,37828,Completed,https://myanimelist.net/anime/37828
108,Bokura wa Minna Kawai-sou,21405,Completed,https://myanimelist.net/anime/21405
109,Bokura wa Minna Kawai-sou: Hajimete no,24913,Completed,https://myanimelist.net/anime/24913
110,Bokutachi no Remake,40904,Completed,https://myanimelist.net/anime/40904
111,Bokutachi wa Benkyou ga Dekinai,38186,Completed,https://myanimelist.net/anime/38186
112,Bokutachi wa Benkyou ga Dekinai!,40004,Completed,https://myanimelist.net/anime/40004
113,Bokutachi wa Benkyou ga Dekinai! Chapel no Kane wa [X] wo Shukufuku Suru,42519,Completed,https://myanimelist.net/anime/42519
114,Bokutachi wa Benkyou ga Dekinai: Nagisa ni Usemono Arite Senjin wa Enzen to [X] Suru,39819,Completed,https://myanimelist.net/anime/39819
115,Boogiepop wa Warawanai (2019),37451,Completed,https://myanimelist.net/anime/37451
116,Breakers,40850,Completed,https://myanimelist.net/anime/40850
117,Btooom!,14345,Completed,https://myanimelist.net/anime/14345
118,Bungou to Alchemist: Shinpan no Haguruma,40934,Completed,https://myanimelist.net/anime/40934
119,Burn the Witch,41468,Completed,https://myanimelist.net/anime/41468
120,Byousoku 5 Centimeter,1689,Completed,https://myanimelist.net/anime/1689
121,Caligula (TV),36828,Completed,https://myanimelist.net/anime/36828
122,Carole & Tuesday,37435,Completed,https://myanimelist.net/anime/37435
123,Carole & Tuesday Specials,40013,Completed,https://myanimelist.net/anime/40013
124,Cencoroll,3087,Completed,https://myanimelist.net/anime/3087
125,Cencoroll Connect,9488,Completed,https://myanimelist.net/anime/9488
126,Cestvs: The Roman Fighter,43763,Completed,https://myanimelist.net/anime/43763
127,Chainsaw Man,44511,Watching,https://myanimelist.net/anime/44511
128,Charlotte,28999,Completed,https://myanimelist.net/anime/28999
129,Charlotte: Tsuyoimono-tachi,31553,Completed,https://myanimelist.net/anime/31553
130,Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore,40960,Completed,https://myanimelist.net/anime/40960
131,Chio-chan no Tsuugakuro,35821,Completed,https://myanimelist.net/anime/35821
132,Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!,39523,Completed,https://myanimelist.net/anime/39523
133,Choukadou Girl ⅙,38226,Completed,https://myanimelist.net/anime/38226
134,Chuubyou Gekihatsu Boy,38390,Completed,https://myanimelist.net/anime/38390
135,Citrus,34382,Completed,https://myanimelist.net/anime/34382
136,Classroom☆Crisis,30383,Completed,https://myanimelist.net/anime/30383
137,Claymore,1818,Completed,https://myanimelist.net/anime/1818
138,Clockwork Planet,32407,Completed,https://myanimelist.net/anime/32407
139,Cocolors,34167,Completed,https://myanimelist.net/anime/34167
140,Colorful (Movie),8142,Completed,https://myanimelist.net/anime/8142
141,Comic Girls,35756,Completed,https://myanimelist.net/anime/35756
142,Conception,37823,Completed,https://myanimelist.net/anime/37823
143,Cool Doji Danshi,51680,Watching,https://myanimelist.net/anime/51680
144,Cop Craft,38940,Completed,https://myanimelist.net/anime/38940
145,Cop Craft: Utsukushiki Onna Kishi! Toraware no Yousei wo Oe!,40405,Completed,https://myanimelist.net/anime/40405
146,Coppelion,9479,Completed,https://myanimelist.net/anime/9479
147,Curry Meshi x Zombieland Saga,40477,Completed,https://myanimelist.net/anime/40477
148,Cyberpunk: Edgerunners,42310,Completed,https://myanimelist.net/anime/42310
149,Danshi Koukousei no Nichijou,11843,Completed,https://myanimelist.net/anime/11843
150,Danshi Koukousei no Nichijou Specials,12893,Completed,https://myanimelist.net/anime/12893
151,Darling in the FranXX,35849,Completed,https://myanimelist.net/anime/35849
152,Darwin's Game,38656,Completed,https://myanimelist.net/anime/38656
153,Date A Bullet: Dead or Bullet,40416,Completed,https://myanimelist.net/anime/40416
154,Date A Bullet: Nightmare or Queen,42423,Completed,https://myanimelist.net/anime/42423
155,Date A Live,15583,Completed,https://myanimelist.net/anime/15583
156,Date A Live II,19163,Completed,https://myanimelist.net/anime/19163
157,Date A Live II: Kurumi Star Festival,22961,Completed,https://myanimelist.net/anime/22961
158,Date A Live III,36633,Completed,https://myanimelist.net/anime/36633
159,Date A Live Movie: Mayuri Judgment,24655,Completed,https://myanimelist.net/anime/24655
160,Date A Live: Date to Date,17641,Completed,https://myanimelist.net/anime/17641
161,Days,24823,Completed,https://myanimelist.net/anime/24823
162,Daze,24429,Completed,https://myanimelist.net/anime/24429
163,Death Billiards,14353,Completed,https://myanimelist.net/anime/14353
