,Unnamed: 0,anime,season,year,category,songname,artist,link,extra,status
0,0,22_7,Winter 2020,2020,Ending Theme,One of them,Miu Takigawa (Nagomi Saijou),https://www.youtube.com/watch?v=m3ZdxXxObNQ,One of them,
1,1,22_7,Winter 2020,2020,Ending Theme,Ikiru koto ni Raku ni Naritai (生きることに楽になりたい),Sakura Fujima (Sally Amaki),https://www.youtube.com/watch?v=-B9JAgH6Q5A,22/7 Episode 4 Ending Full『Ikiru Koto ni Raku ni Naritai』by Sakura Fujima (CV: Sally Amaki),
2,2,22_7,Winter 2020,2020,Ending Theme,Yume no Fune (夢の船),Miyako Kouno (Mizuha Kuraoka),https://www.youtube.com/watch?v=2Fwb7ca88as,22/7 Episode 5 Ending Full『Yume no Fune』by Miyako Kono (CV: Mizuha Kuraoka),
3,3,22_7,Winter 2020,2020,Ending Theme,Yuutousei ja Tsumaranai (優等生じゃつまらない),Reika Satou (Chiharu Hokaze),https://www.youtube.com/watch?v=CYipmNmV5_k,22/7 Episode 6 Ending Full『Yuutousei ja Tsumaranai』by Reika Sato (CV: Chiharu Hokaze),
4,4,22_7,Winter 2020,2020,Ending Theme,Jinsei wa Waltz (人生はワルツ),Jun Toda (Ruri Umino),https://www.youtube.com/watch?v=9UquaL-8vIY,22/7 Episode 7 Ending Full『Jinsei wa Warutsu』by Jun Toda (CV: Ruri Umino),
5,5,22_7,Winter 2020,2020,Ending Theme,Kanjou Muyouron (感情無用論),Akane Maruyama (Kanae Shirosawa),https://www.youtube.com/watch?v=fDSm1t6kgzk,22/7 Episode 8 Ending Full『Kanjou Muyouron』by Akane Maruyama (CV: Kanae Shirosawa),
6,6,22_7,Winter 2020,2020,Ending Theme,Moonlight,Ayaka Tachikawa (Reina Miyase),https://www.youtube.com/watch?v=NCmtRfPVAsg,22/7 Episode 9 Ending Full『Moonlight』by Ayaka Tachikawa (CV: Reina Miyase),
7,7,22_7,Winter 2020,2020,Ending Theme,Kodoku wa Kirai ja Nai (孤独は嫌いじゃない),Nicole Saitou (Uta Kawase),https://www.youtube.com/watch?v=u-H-i-_-Dy8,22/7 Episode 11 Ending Full『Kodoku wa Kirai ja Nai』by Nicole Saito (CV: Uta Kawase),
8,8,22_7_ 8＋3=_,,1900,Ending Theme,Kamisama ni Yubi wo Sasareta Bokutachi (神様に指を差された僕たち),"Mikami Kamiki (CV_ Moe Suzuhana), Yuuki Toujou (CV_ Urara Takatsuji), Tsubomi Hiiragi (CV_ Aina Takeda)",https://www.youtube.com/watch?v=NHwnIZxVq70,"22/7 EP 13 ED Full『Kamisama ni Yubi wo Sasareta Bokutachi』by Mikami Kamiki,Yuki Tojo,Tsubomi Hiiragi",
9,9,3-gatsu no Lion (March Comes In Like a Lion),Fall 2016,2016,Ending Theme,Nyaa Shougi Ondo (ニャー将棋音頭),"Hinata (Kana Hanazawa), Akari (Ai Kayano), Momo (Misaki Kuno)",https://www.youtube.com/watch?v=Xh_IJ7apmpM,【TV】3-gatsu no Lion Ending 2 - Nyaa Shougi Ondo (Piano),
10,10,3D Kanojo_ Real Girl 2nd Season (Real Girl Season 2),Winter 2019,2019,Opening Theme,Futari nara (二人なら),BiSH,https://www.youtube.com/watch?v=ihMT9cbfdRE,3D Kanojo OP2 FULL『Futari nara by BiSH』,
11,11,4-nin wa Sorezore Uso wo Tsuku (The Little Lies We All Tell),Fall 2022,2022,Opening Theme,Eclipse (エクリプス),NACHERRY,https://www.youtube.com/watch?v=-Src7E81J3A,TVアニメ『4人はそれぞれウソをつく』オープニング主題歌  NACHERRY 「エクリプス」Music Video,
12,12,4-nin wa Sorezore Uso wo Tsuku (The Little Lies We All Tell),Fall 2022,2022,Ending Theme,For 4 Forever,"Rikka (Chiemi Tanaka), Chiyo (Natsumi Murakami), Sekine (Ayane Sakura), Tsubasa (Megumi Han)",https://www.youtube.com/watch?v=IZH8d4IZ2LU,For 4 Forever,
13,13,5-toubun no Hanayome ∬ (The Quintessential Quintuplets 2),Winter 2021,2021,Ending Theme,Go-toubun no Kimochi (五等分の気持ち),"Nakanoke no Itsuzugo (中野家の五つ子) (Kana Hanazawa, Ayana Taketatsu, Miku Itou, Ayane Sakura, Inori Minase)",https://www.youtube.com/watch?v=ee2DCFiPCy0,5-toubun no Hanayome OP Full || Gotoubun no Kimochi - Nakano-ke no Itsutsugo,
14,14,5-toubun no Hanayome Movie (The Quintessential Quintuplets Movie),,1900,Opening Theme,Gotoubun no Kiseki (五等分の軌跡),"Nakanoke no Itsuzugo (中野家の五つ子) (Kana Hanazawa, Ayana Taketatsu, Miku Itou, Ayane Sakura, Inori Minase)",https://www.youtube.com/watch?v=CqGCdL6MxMA,はつこい,
15,15,86 Part 2 (86 Eighty-Six Part 2),Fall 2021,2021,Ending Theme,LilaS,SawanoHiroyuki[nZk]_Honoka Takahashi,https://www.youtube.com/watch?v=dfOsUNxc2Xg,SawanoHiroyuki[nZk]:Honoka Takahashi『LilaS』×TVアニメ「８６―エイティシックス―」Collaboration Movie,
16,16,Akatsuki no Yona (Yona of the Dawn),Fall 2014,2014,Ending Theme,Akatsuki (暁),Akiko Shikata,https://www.youtube.com/watch?v=anReVsUASYU,Akiko Shikata - Akatsuki full (Romaji & English lyrics) (Akatsuki no Yona Ending 2),
17,17,Akatsuki no Yona OVA (Yona of the Dawn OVA),,1900,Ending Theme,Egao no Rensa (笑顔の連鎖),Cyntia,https://www.youtube.com/watch?v=WnjwbKlTWj4,Akatsuki no Yona - Ova 1 Ending『Cyntia - Egao no Rensa』,
18,18,Akatsuki no Yona OVA (Yona of the Dawn OVA),,1900,Ending Theme,Akatsuki (暁),Akiko Shikata,https://www.youtube.com/watch?v=anReVsUASYU,Akiko Shikata - Akatsuki full (Romaji & English lyrics) (Akatsuki no Yona Ending 2),
19,19,Akiba Meido Sensou (Akiba Maid War),Fall 2022,2022,Opening Theme,Maid Daikaiten (メイド大回転),the Ton Tokoton staff,https://www.youtube.com/watch?v=l_A-ufGHYvk,メイド大回転,
20,20,Akiba Meido Sensou (Akiba Maid War),Fall 2022,2022,Ending Theme,Maid no Komoriuta (冥途の子守唄),Ranko Mannen (CV_ Rina Sato),https://www.youtube.com/watch?v=JlORd1Wmgys,冥途の子守唄,
21,21,Akira,,1900,Ending Theme,Kaneda,Geinoh Yamashiro-gumi,https://www.youtube.com/watch?v=HB6Ch_VAfIk,"AKIRA soundtrack - Geinoh Yamashirogumi - ""Kaneda""",
22,22,Akkun to Kanojo (My Sweet Tyrant),Spring 2018,2018,Opening Theme,Koi no Balloon (恋のバルーン),Haruna Ooshima (大島はるな),https://www.youtube.com/watch?v=t3Xvy8tGyRc,大島はるな『恋のバルーン』Music Video,
23,23,Akkun to Kanojo (My Sweet Tyrant),Spring 2018,2018,Opening Theme,We☆Pace!!,Haruna Ooshima feat_ Ebisu coffret (大島はるな feat_恵比寿coffret),https://www.youtube.com/watch?v=qdfBjYmG9a0,Akkun to Kanojo Opening 2: We☆Pace!! - Haruna Oshima / 大島はるな,
24,24,Akkun to Kanojo (My Sweet Tyrant),Spring 2018,2018,Ending Theme,Koi no Balloon (恋のバルーン),Haruna Ooshima (大島はるな),https://www.youtube.com/watch?v=t3Xvy8tGyRc,大島はるな『恋のバルーン』Music Video,
25,25,Akuyaku Reijou nano de Last Boss wo Kattemimashita,Fall 2022,2022,Opening Theme,Kyoukan Sarenakutemo Iijanai (共感されなくてもいいじゃない),Rie Takahashi,https://www.youtube.com/watch?v=oXlEEXws3gc,高橋李依「共感されなくてもいいじゃない」Music Video,
26,26,Akuyaku Reijou nano de Last Boss wo Kattemimashita,Fall 2022,2022,Ending Theme,Nomic (ノミック),ACCAMER,https://www.youtube.com/watch?v=MSNNBHugtag,ACCAMER「ノミック」Music Video,
27,27,Aldnoah.Zero Part 2 (Aldnoah.Zero),Winter 2015,2015,Ending Theme,Harmonious,Asseylum Vers Allusia starring Sora Amamiya,https://www.youtube.com/watch?v=kK9KxUgjFLc,Harmonious (feat. Sora Amamiya) - ALDNOAH.ZERO OST 2 - Hiroyuki Sawano,
28,28,Ange Vierge,Summer 2016,2016,Opening Theme,Love is MY RAIL,Konomi Suzuki,https://www.youtube.com/watch?v=ciQWFHhObVk,Love is MY RAIL - Konomi Suzuki,
29,29,Ange Vierge,Summer 2016,2016,Ending Theme,Link with U,"L_I_N_K_s (Yuuka Aisaka, Mai Ishihara, Yoshiko Ikuta, Rie Takahashi, Nozomi Yamamoto)",https://www.youtube.com/watch?v=X5EExUUZSyA,Ange Vierge | Link with U | Ending Theme,
30,30,Angel Beats!,Spring 2010,2010,Opening Theme,"My Soul, Your Beats!",Lia,https://www.youtube.com/watch?v=zIFV8UUs1-c,"Angel Beats Op Full HD w/lyrics My Soul, Your Beats!",
31,31,Angel Beats!,Spring 2010,2010,Opening Theme,"My Soul, Your Beats!",LiSA,https://www.youtube.com/watch?v=KXvHv7BxUNs,"LiSA - My Soul, Your Beats! - Keep the Angel Beats Live Concert",
32,32,Angel Beats!,Spring 2010,2010,Ending Theme,Brave Song,Aoi Tada,https://www.youtube.com/watch?v=xtcvM3s1I1s,Brave Song by Aoi Tada FULL (angel beats ending),
33,33,Angel Beats!,Spring 2010,2010,Ending Theme,Ichiban no Takaramono ~Yui final ver_~ (一番の宝物 ~Yui final ver_~),Girls Dead Monster feat_ LiSA,https://www.youtube.com/watch?v=tm7Xf9818FM,Angel Beats! - Ichiban no Takaramono (Yui final ver.),
34,34,Angel Beats!,Spring 2010,2010,Ending Theme,Ichiban no Takaramono (一番の宝物),karuta,https://www.youtube.com/watch?v=o5SSGhmTvr0,Karuta - Ichiban no Takaramono [English Sub] 一番の宝物 Angel Beats!,
35,35,Angel Beats! Specials,,1900,Opening Theme,"My Soul, Your Beats!",Lia,https://www.youtube.com/watch?v=zIFV8UUs1-c,"Angel Beats Op Full HD w/lyrics My Soul, Your Beats!",
36,36,Angel Beats! Specials,,1900,Ending Theme,Brave Song,Aoi Tada,https://www.youtube.com/watch?v=xtcvM3s1I1s,Brave Song by Aoi Tada FULL (angel beats ending),
37,37,Another,Winter 2012,2012,Opening Theme,Kyoumu Densen (凶夢伝染),ALI PROJECT,https://www.youtube.com/watch?v=We_uZ7-_HmM,[Official Video] ALI PROJECT - Kyomu Densen - 凶夢伝染,
38,38,Another,Winter 2012,2012,Ending Theme,anamnesis,Annabel,https://www.youtube.com/watch?v=7e0Tgyw_A9I,Another ED Full「anamnesis by Annabel」アナザー,
39,39,Another_ The Other - Inga (Another_ The Other),,1900,Opening Theme,Kyoumu Densen (凶夢伝染),ALI PROJECT,https://www.youtube.com/watch?v=We_uZ7-_HmM,[Official Video] ALI PROJECT - Kyomu Densen - 凶夢伝染,
40,40,Another_ The Other - Inga (Another_ The Other),,1900,Ending Theme,anamnesis,Annabel,https://www.youtube.com/watch?v=7e0Tgyw_A9I,Another ED Full「anamnesis by Annabel」アナザー,
41,41,Ansatsu Kyoushitsu (Assassination Classroom),Winter 2015,2015,Opening Theme,Seishun Satsubatsu-ron (青春サツバツ論),"3-nen E-gumi Shuugakuryokou 4-han (3年E組 修学旅行4班) [Mai Fuchigami, Aya Suzaki, Nobuhiko Okamoto, Yoshitaka Yamaya, Satomi Sato, Sayuri Yahagi]",https://www.youtube.com/watch?v=QkmYpUvwjFU,Seishun Satsubatsuron (青春...サツバツ論!): Assassination Classroom (暗殺教室) Opening Lyrics,
42,42,Aru Asa Dummy Head Mic ni Natteita Ore-kun no Jinsei,Fall 2022,2022,Ending Theme,Katachi ni Dekinai Monologue (形にできないモノローグ),KOTOKO,https://www.youtube.com/watch?v=B_PSJVdnkzA,"Aru Asa Dummy Head Mic ni Natteita Ore-kun no Jinsei ED - ""Katachi ni Dekinai Monologue"" Piano Cover",sus
43,43,Asatir_ Mirai no Mukashi Banashi (Future Folktales),Spring 2020,2020,Opening Theme,Mirai no Mukashibanashi (未来の昔ばなし),Sachiko Watabe (渡部沙智子),https://www.youtube.com/watch?v=wcQklA1wXRA,アサティール　未来の昔ばなし,
44,44,Asatir_ Mirai no Mukashi Banashi (Future Folktales),Spring 2020,2020,Ending Theme,Kioku no Mukou (記憶の向こう),Sachiko Watabe (渡部沙智子),https://www.youtube.com/watch?v=ixOXrvalQXw,2020年春の私のトップ50アニメエンディング,
45,45,Asobi Asobase (Asobi Asobase - workshop of fun -),Summer 2018,2018,Opening Theme,Three-Piece (スリピス),"Hanako Honda (Hina Kino), Olivia (Rika Nagae), Kasumi Nomura (Konomi Kohara)",https://www.youtube.com/watch?v=qRS_l40Bgz0,Opening Asobi Asobase Three Piece Full Version,
46,46,Asobi Asobase (Asobi Asobase - workshop of fun -),Summer 2018,2018,Ending Theme,Inkya Impulse (インキャインパルス),"Hanako Honda (Hina Kino), Olivia (Rika Nagae), Kasumi Nomura (Konomi Kohara) feat_ Ikepy & KSKN",https://www.youtube.com/watch?v=hkL4hW4eniI,Inkya Impulse  (インキャインパルス) Asobi Asobase Ending Full,
47,47,Asobi Asobase Specials,,1900,Opening Theme,Three-Piece (スリピス),"Hanako Honda (Hina Kino), Olivia (Rika Nagae), Kasumi Nomura (Konomi Kohara)",https://www.youtube.com/watch?v=qRS_l40Bgz0,Opening Asobi Asobase Three Piece Full Version,
48,48,Asobi Asobase_ Cosplay Taikai_Otona no Watashi e,,1900,Opening Theme,Three-Piece (スリピス),"Hanako Honda (Hina Kino), Olivia (Rika Nagae), Kasumi Nomura (Konomi Kohara)",https://www.youtube.com/watch?v=aCOqGtPpoys,Asobi Asobase OST OP/Opening Full Three-Piece,
49,49,Asobi Asobase_ Cosplay Taikai_Otona no Watashi e,,1900,Ending Theme,Inkya Impulse (インキャインパルス),"Hanako Honda (Hina Kino), Olivia (Rika Nagae), Kasumi Nomura (Konomi Kohara) feat_ Ikepy & KSKN",https://www.youtube.com/watch?v=hkL4hW4eniI,Inkya Impulse  (インキャインパルス) Asobi Asobase Ending Full,
50,50,Assault Lily_ Bouquet,Fall 2020,2020,Ending Theme,Blink,Reina Ueda,https://www.youtube.com/watch?v=Y-ou8d-wMoI,上田麗奈「あまい夢」 MUSIC VIDEO,
51,51,Babylon,Fall 2019,2019,Opening Theme,Echoing ft_ Sysha,Yamada Yutaka,https://www.youtube.com/watch?v=ceFOtLhfyOE,TVアニメ 「バビロン」Babylon Anime OST - Echoing (Feat. Sysha) -Opening Song Full ver-,
52,52,Babylon,Fall 2019,2019,Ending Theme,Live and let die,Q-MHz feat_ uloco,https://www.youtube.com/watch?v=eeNj9gIr2hY,"Babylon OP/ED Piano - ""Live and let die"" by Q-MHz feat. uloco.",
53,53,Back Arrow,Winter 2021,2021,Opening Theme,Kodou (鼓動),Eir Aoi,https://www.youtube.com/watch?v=FLuFszuT8xM,藍井エイル「鼓動」 Music Video (TVアニメ「バック・アロウ」2ndオープニングテーマ）,
54,54,Back Arrow,Winter 2021,2021,Ending Theme,United Sparrows,FLOW,https://www.youtube.com/watch?v=Vy9cRFN1DtI,FLOW 『United Sparrows』MUSIC VIDEO,
55,55,Beastars,Fall 2019,2019,Opening Theme,Wild Side,ALI,https://www.youtube.com/watch?v=gKlrr6jsPgk,Wild Side | ALI,
56,56,Beastars 2nd Season,Winter 2021,2021,Opening Theme,Yasashii Suisei (優しい彗星),YOASOBI,https://www.youtube.com/watch?v=VyvhvlYvRnc,YOASOBI「優しい彗星」Official Music Video　(YOASOBI - Comet),
57,57,Beelzebub-jou no Okinimesu mama. (As Miss Beelzebub Likes.),Fall 2018,2018,Ending Theme,Akumade Koiwazurai (あくまで恋煩い),"Beelzebub (Saori Oonishi), Belphegor (Misaki Kuno), Sargatanas (Ai Kakuma)",https://www.youtube.com/watch?v=vAqXrfXV6q0,As Miss Beelzebub Likes Ending Full - Akumade Koi Wazurai (あくまで恋煩い),
58,58,Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Opening Theme,William Tell Overture,Jin Katagiri & Akihito Hayashi,https://www.youtube.com/watch?v=8C3bM3XX7wc,Bessatsu Olympia Kyklos Opening 1 Full HD Tv Size,
59,59,Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,Kimi wa Hellenes (君はヘレネス),Akito Hayashi,https://www.youtube.com/watch?v=gG4U44SWky0,古代ギリシャ豆知識すり込む“謎の歌”　「別冊オリンピア・キュクロス」毎話異なる話題のED一挙配信,
60,60,Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,ZE_N_RA,Akito Hayashi,https://www.youtube.com/watch?v=WXNHOK936t4,Olympia Kyklos Ending 20 [Burning Fire] English sub,
61,61,Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,toko no Arete (男のアレーテー),Akito Hayashi,https://www.youtube.com/watch?v=gG4U44SWky0,古代ギリシャ豆知識すり込む“謎の歌”　「別冊オリンピア・キュクロス」毎話異なる話題のED一挙配信,
62,62,Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,Hajimari wa Itsumo Zeus (はじまりはいつもゼウス),Akito Hayashi,https://www.youtube.com/watch?v=gG4U44SWky0,古代ギリシャ豆知識すり込む“謎の歌”　「別冊オリンピア・キュクロス」毎話異なる話題のED一挙配信,
63,63,Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,Ato no Aegean Sea (痕のエーゲ海),Akito Hayashi, ,fuckup,sus
64,64,Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,Konya wa Symposium (今夜はシンポジ才ン),Akito Hayashi, ,fuckup,sus
65,65,Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,Sweet Olympia (スイートオリンピア),Akito Hayashi, ,fuckup,sus
66,66,Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,Endless Summer (エンドレスサマー ),Akito Hayashi, ,fuckup,sus
67,67,Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,Tatero! Tropaion (立てろ！トロパイオン),Akito Hayashi, ,fuckup,sus
68,68,Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,Sparta-jin Kowai (スパルタ人こわい),Akito Hayashi, ,fuckup,sus
69,69,Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,Kokugai de wa Betsu no Kao (国外では別の顔),Akito Hayashi, ,fuckup,sus
70,70,Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,Sayonara Sparta (さよならスパルタ),Akito Hayashi, ,fuckup,sus
71,71,Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,LADY discrimination,Akito Hayashi,https://www.youtube.com/watch?v=WXNHOK936t4,Olympia Kyklos Ending 20 [Burning Fire] English sub,
72,72,Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,Kimi wa Nani Slone (君は何スロン),Akito Hayashi, ,fuckup,sus
73,73,Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,Yume no Market (夢のマーケット ),Akito Hayashi, ,fuckup,sus
74,74,Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,Zurui Hito (ずるい皇帝（ひと）),Akito Hayashi, ,fuckup,sus
75,75,Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,Kimi no Pessoi (君のペッソイ ),Akito Hayashi,https://www.youtube.com/watch?v=gG4U44SWky0,古代ギリシャ豆知識すり込む“謎の歌”　「別冊オリンピア・キュクロス」毎話異なる話題のED一挙配信,
76,76,Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,Tetsugakusha no Shokutaku (哲学者の食卓),Akito Hayashi, ,fuckup,sus
77,77,Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,Herma! Herma! Herma! (ヘルマ！ヘルマ！ヘルマ！),Akito Hayashi,https://www.youtube.com/watch?v=wfDL3pg42Cc,Olympia Kyklos Ending 19 [Herma! Herma! Herma! ] English sub,
78,78,Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,BURNING FIRE,Akito Hayashi,https://www.youtube.com/watch?v=WXNHOK936t4,Olympia Kyklos Ending 20 [Burning Fire] English sub,
79,79,Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,Murabito Alpha (村人A（アルファ）),Akito Hayashi, ,fuckup,sus
80,80,Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,Kimi no Shirio Uso (君の白い嘘),Akito Hayashi, ,fuckup,sus
81,81,Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,Sayonara no Ori ni___ (サヨナラの折に___),Akito Hayashi, ,fuckup,sus
