,anime,season,year,category,songname,artist,link,extra,status
0,100-man no Inochi no Ue ni Ore wa Tatteiru,Fall 2020,2020,Opening Theme,Anti world,Kanako Takatsuki,https://open.spotify.com/track/47mtXCSExRrKA9cYGuiftZ,,Downloaded
1,100-man no Inochi no Ue ni Ore wa Tatteiru,Fall 2020,2020,Ending Theme,Carpe・Diem (カルペ・ディエム),Liyuu,https://open.spotify.com/track/2MtalMSV45ThxAF7l3kRgD,,Downloaded
2,100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,Summer 2021,2021,Opening Theme,Baddest,Kaede Higuchi (樋口楓),https://open.spotify.com/track/0XMsMnaW0zceeFuhQZAQkf,,Downloaded
3,100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,Summer 2021,2021,Ending Theme,Subversive,Kanako Takatsuki (高槻かなこ),https://open.spotify.com/track/1zJreL7IUwnJRBigeIBvD0,,Downloaded
4,2.43_ Seiin Koukou Danshi Volley-bu,Winter 2021,2021,Opening Theme,Mahi (麻痺),yama,https://open.spotify.com/track/1LwSnnsoKcAUv9TPFEZ7iQ,,Downloaded
5,2.43_ Seiin Koukou Danshi Volley-bu,Winter 2021,2021,Ending Theme,Undulation,Soushi Sakiyama (崎山蒼志),https://open.spotify.com/track/3WcLxnWX9JXQjT5idrcQA2,,Downloaded
6,22_7,Winter 2020,2020,Opening Theme,Muzui (ムズイ),22_7,https://open.spotify.com/track/6WgPTB2vJe3BuRI86rULNb,,Downloaded
7,22_7,Winter 2020,2020,Ending Theme,Sora no Emerald (空のエメラルド),22_7,https://open.spotify.com/track/1wPwvkMMClSdTm3wCHv6qh,,Downloaded
8,22_7,Winter 2020,2020,Ending Theme,One of them,Miu Takigawa (Nagomi Saijou),https://www.youtube.com/watch?v=m3ZdxXxObNQ,One of them,
9,22_7,Winter 2020,2020,Ending Theme,Ikiru koto ni Raku ni Naritai (生きることに楽になりたい),Sakura Fujima (Sally Amaki),https://www.youtube.com/watch?v=-B9JAgH6Q5A,22/7 Episode 4 Ending Full『Ikiru Koto ni Raku ni Naritai』by Sakura Fujima (CV: Sally Amaki),
10,22_7,Winter 2020,2020,Ending Theme,Yume no Fune (夢の船),Miyako Kouno (Mizuha Kuraoka),https://www.youtube.com/watch?v=2Fwb7ca88as,22/7 Episode 5 Ending Full『Yume no Fune』by Miyako Kono (CV: Mizuha Kuraoka),
11,22_7,Winter 2020,2020,Ending Theme,Yuutousei ja Tsumaranai (優等生じゃつまらない),Reika Satou (Chiharu Hokaze),https://www.youtube.com/watch?v=CYipmNmV5_k,22/7 Episode 6 Ending Full『Yuutousei ja Tsumaranai』by Reika Sato (CV: Chiharu Hokaze),
12,22_7,Winter 2020,2020,Ending Theme,Jinsei wa Waltz (人生はワルツ),Jun Toda (Ruri Umino),https://www.youtube.com/watch?v=9UquaL-8vIY,22/7 Episode 7 Ending Full『Jinsei wa Warutsu』by Jun Toda (CV: Ruri Umino),
13,22_7,Winter 2020,2020,Ending Theme,Kanjou Muyouron (感情無用論),Akane Maruyama (Kanae Shirosawa),https://www.youtube.com/watch?v=fDSm1t6kgzk,22/7 Episode 8 Ending Full『Kanjou Muyouron』by Akane Maruyama (CV: Kanae Shirosawa),
14,22_7,Winter 2020,2020,Ending Theme,Moonlight,Ayaka Tachikawa (Reina Miyase),https://www.youtube.com/watch?v=NCmtRfPVAsg,22/7 Episode 9 Ending Full『Moonlight』by Ayaka Tachikawa (CV: Reina Miyase),
15,22_7,Winter 2020,2020,Ending Theme,Kodoku wa Kirai ja Nai (孤独は嫌いじゃない),Nicole Saitou (Uta Kawase),https://www.youtube.com/watch?v=u-H-i-_-Dy8,22/7 Episode 11 Ending Full『Kodoku wa Kirai ja Nai』by Nicole Saito (CV: Uta Kawase),
16,22_7_ 8＋3=_,,1900,Opening Theme,Muzui (ムズイ),22_7,https://open.spotify.com/track/3fhI9lYtaBxLV0aCMbLfnu,,Downloaded
17,22_7_ 8＋3=_,,1900,Ending Theme,Kamisama ni Yubi wo Sasareta Bokutachi (神様に指を差された僕たち),"Mikami Kamiki (CV_ Moe Suzuhana), Yuuki Toujou (CV_ Urara Takatsuji), Tsubomi Hiiragi (CV_ Aina Takeda)",https://www.youtube.com/watch?v=NHwnIZxVq70,"22/7 EP 13 ED Full『Kamisama ni Yubi wo Sasareta Bokutachi』by Mikami Kamiki,Yuki Tojo,Tsubomi Hiiragi",
