,anime,season,year,category,songname,artist,link,extra
0,100-man no Inochi no Ue ni Ore wa Tatteiru,Fall 2020,2020,Opening Theme,Anti world,Kanako Takatsuki,https://open.spotify.com/track/47mtXCSExRrKA9cYGuiftZ,
1,100-man no Inochi no Ue ni Ore wa Tatteiru,Fall 2020,2020,Ending Theme,Carpe・Diem (カルペ・ディエム),Liyuu,https://open.spotify.com/track/2MtalMSV45ThxAF7l3kRgD,
2,100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,Summer 2021,2021,Opening Theme,Baddest,Kaede Higuchi (樋口楓),https://open.spotify.com/track/0XMsMnaW0zceeFuhQZAQkf,
3,100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,Summer 2021,2021,Ending Theme,Subversive,Kanako Takatsuki (高槻かなこ),https://open.spotify.com/track/1zJreL7IUwnJRBigeIBvD0,
4,2.43: Seiin Koukou Danshi Volley-bu,Winter 2021,2021,Opening Theme,Mahi (麻痺),yama,https://open.spotify.com/track/1LwSnnsoKcAUv9TPFEZ7iQ,
5,2.43: Seiin Koukou Danshi Volley-bu,Winter 2021,2021,Ending Theme,Undulation,Soushi Sakiyama (崎山蒼志),https://open.spotify.com/track/3WcLxnWX9JXQjT5idrcQA2,
6,22/7,Winter 2020,2020,Opening Theme,Muzui (ムズイ),22_7,https://open.spotify.com/track/6WgPTB2vJe3BuRI86rULNb,
7,22/7,Winter 2020,2020,Ending Theme,Sora no Emerald (空のエメラルド),22_7,https://open.spotify.com/track/1wPwvkMMClSdTm3wCHv6qh,
8,22/7,Winter 2020,2020,Ending Theme,One of them,Miu Takigawa (Nagomi Saijou), ,
9,22/7,Winter 2020,2020,Ending Theme,Ikiru koto ni Raku ni Naritai (生きることに楽になりたい),Sakura Fujima (Sally Amaki), ,
10,22/7,Winter 2020,2020,Ending Theme,Yume no Fune (夢の船),Miyako Kouno (Mizuha Kuraoka), ,
11,22/7,Winter 2020,2020,Ending Theme,Yuutousei ja Tsumaranai (優等生じゃつまらない),Reika Satou (Chiharu Hokaze), ,
12,22/7,Winter 2020,2020,Ending Theme,Jinsei wa Waltz (人生はワルツ),Jun Toda (Ruri Umino), ,
13,22/7,Winter 2020,2020,Ending Theme,Kanjou Muyouron (感情無用論),Akane Maruyama (Kanae Shirosawa), ,
14,22/7,Winter 2020,2020,Ending Theme,Moonlight,Ayaka Tachikawa (Reina Miyase), ,
15,22/7,Winter 2020,2020,Ending Theme,Kodoku wa Kirai ja Nai (孤独は嫌いじゃない),Nicole Saitou (Uta Kawase), ,
16,22/7: 8＋3=?,,1900,Opening Theme,Muzui (ムズイ),22_7,https://open.spotify.com/track/3fhI9lYtaBxLV0aCMbLfnu,
17,22/7: 8＋3=?,,1900,Ending Theme,Kamisama ni Yubi wo Sasareta Bokutachi (神様に指を差された僕たち),"Mikami Kamiki (CV_ Moe Suzuhana), Yuuki Toujou (CV_ Urara Takatsuji), Tsubomi Hiiragi (CV_ Aina Takeda)", ,
18,3-gatsu no Lion (March Comes In Like a Lion),Fall 2016,2016,Opening Theme,Answer (アンサー),BUMP OF CHICKEN,https://open.spotify.com/track/6laONlj9zCF3hPNsQUePM6,
19,3-gatsu no Lion (March Comes In Like a Lion),Fall 2016,2016,Opening Theme,Sayonara Bystander (さよならバイスタンダー),YUKI,https://open.spotify.com/track/0dPJjld18Wi15ymcrDCG6u,
20,3-gatsu no Lion (March Comes In Like a Lion),Fall 2016,2016,Ending Theme,Fighter (ファイター),BUMP OF CHICKEN,https://open.spotify.com/track/6QTvkIUU6qlxKbzqxYbrqh,
21,3-gatsu no Lion (March Comes In Like a Lion),Fall 2016,2016,Ending Theme,Nyaa Shougi Ondo (ニャー将棋音頭),"Hinata (Kana Hanazawa), Akari (Ai Kayano), Momo (Misaki Kuno)", ,
22,3-gatsu no Lion (March Comes In Like a Lion),Fall 2016,2016,Ending Theme,orion,Kenshi Yonezu (米津 玄師),https://open.spotify.com/track/1bIZxrSkbxatnTo8ObcIxX,
23,3-gatsu no Lion 2nd Season (March Comes In Like A Lion 2nd Season),Fall 2017,2017,Opening Theme,Flag wo Tatero (フラッグを立てろ),YUKI,https://open.spotify.com/track/1D4deoqHs8nQ4oS08IdXI8,
24,3-gatsu no Lion 2nd Season (March Comes In Like A Lion 2nd Season),Fall 2017,2017,Opening Theme,Haru ga Kite Bokura (春が来てぼくら),UNISON SQUARE GARDEN,https://open.spotify.com/track/1hbTYIALy6ZKUraynVquOk,
25,3-gatsu no Lion 2nd Season (March Comes In Like A Lion 2nd Season),Fall 2017,2017,Ending Theme,Kafune (カフネ),Brian the Sun,https://open.spotify.com/track/2QI8wQYMuPaOI1GBAH5eaW,
26,3-gatsu no Lion 2nd Season (March Comes In Like A Lion 2nd Season),Fall 2017,2017,Ending Theme,I AM STANDING,RUANN,https://open.spotify.com/track/4R9W8aH6fHTc8VaUgu72Ol,
27,3D Kanojo: Real Girl (Real Girl),Spring 2018,2018,Opening Theme,Daiji na Koto (だいじなこと),Quruli,https://open.spotify.com/track/1IxKVKHJq31OqdeibxB6aO,
28,3D Kanojo: Real Girl (Real Girl),Spring 2018,2018,Ending Theme,HiDE the BLUE,BiSH,https://open.spotify.com/track/7p4HUrX56eDEYiitt4jNUK,
29,3D Kanojo: Real Girl 2nd Season (Real Girl Season 2),Winter 2019,2019,Opening Theme,Futari nara (二人なら),BiSH, ,
30,3D Kanojo: Real Girl 2nd Season (Real Girl Season 2),Winter 2019,2019,Ending Theme,Hagan (破顔),Fujifabric,https://open.spotify.com/track/3fqyaPH3E5vIhhjW4Fqybi,
31,3D Kanojo: Real Girl 2nd Season (Real Girl Season 2),Winter 2019,2019,Ending Theme,Daiji na Koto (だいじなこと),Quruli,https://open.spotify.com/track/1IxKVKHJq31OqdeibxB6aO,
32,4-nin wa Sorezore Uso wo Tsuku (The Little Lies We All Tell),Fall 2022,2022,Opening Theme,Eclipse (エクリプス),NACHERRY, ,
33,4-nin wa Sorezore Uso wo Tsuku (The Little Lies We All Tell),Fall 2022,2022,Ending Theme,For 4 Forever,"Rikka (Chiemi Tanaka), Chiyo (Natsumi Murakami), Sekine (Ayane Sakura), Tsubasa (Megumi Han)", ,
34,5-toubun no Hanayome (The Quintessential Quintuplets),Winter 2019,2019,Opening Theme,Gotoubun no Kimochi (五等分の気持ち),"Nakanoke no Itsuzugo (中野家の五つ子) (Kana Hanazawa, Ayana Taketatsu, Miku Itou, Ayane Sakura, Inori Minase)",https://open.spotify.com/track/4T0CHrYyqrRY4dOIyuYg4b,
35,5-toubun no Hanayome (The Quintessential Quintuplets),Winter 2019,2019,Ending Theme,Sign,Aya Uchida,https://open.spotify.com/track/3pUeCDzHNM0yHN0FoPEadN,
36,5-toubun no Hanayome (The Quintessential Quintuplets),Winter 2019,2019,Ending Theme,Gobun no Ichi (ごぶんのいち),"Nakanoke no Itsuzugo (中野家の五つ子) (Kana Hanazawa, Ayana Taketatsu, Miku Itou, Ayane Sakura, Inori Minase)",https://open.spotify.com/track/0Zj8Yt8bzFajzsOTYLFcZh,
37,5-toubun no Hanayome ∬ (The Quintessential Quintuplets 2),Winter 2021,2021,Opening Theme,Gotoubun no Katachi (五等分のカタチ),"Nakanoke no Itsuzugo (中野家の五つ子) (Kana Hanazawa, Ayana Taketatsu, Miku Itou, Ayane Sakura, Inori Minase)",https://open.spotify.com/track/0c0SnAvk6flplPQWkb0oIO,
38,5-toubun no Hanayome ∬ (The Quintessential Quintuplets 2),Winter 2021,2021,Ending Theme,Hatsukoi (はつこい),"Nakanoke no Itsuzugo (中野家の五つ子) (Kana Hanazawa, Ayana Taketatsu, Miku Itou, Ayane Sakura, Inori Minase)",https://open.spotify.com/track/7FYUMfQhtdm5AJRfU699sB,
39,5-toubun no Hanayome ∬ (The Quintessential Quintuplets 2),Winter 2021,2021,Ending Theme,Go-toubun no Kimochi (五等分の気持ち),"Nakanoke no Itsuzugo (中野家の五つ子) (Kana Hanazawa, Ayana Taketatsu, Miku Itou, Ayane Sakura, Inori Minase)", ,
40,5-toubun no Hanayome Movie (The Quintessential Quintuplets Movie),,1900,Opening Theme,Gotoubun no Kiseki (五等分の軌跡),"Nakanoke no Itsuzugo (中野家の五つ子) (Kana Hanazawa, Ayana Taketatsu, Miku Itou, Ayane Sakura, Inori Minase)", ,
41,5-toubun no Hanayome Movie (The Quintessential Quintuplets Movie),,1900,Ending Theme,5-toubun no Hanayome_ Arigato no Hana (五等分の花嫁～ありがとうの花～),"Nakanoke no Itsuzugo (中野家の五つ子) (Kana Hanazawa, Ayana Taketatsu, Miku Itou, Ayane Sakura, Inori Minase)",https://open.spotify.com/track/1fAoQLtz2mKJR29yCBRR6f,
42,86 (86 Eighty Six),Spring 2021,2021,Opening Theme,3-pun 29-byou (3分29秒),hitorie,https://open.spotify.com/track/04rQMy0kPLdMyIeK5oyg1g,
43,86 (86 Eighty Six),Spring 2021,2021,Ending Theme,3-pun 29-byou (3分29秒),hitorie,https://open.spotify.com/track/04rQMy0kPLdMyIeK5oyg1g,
44,86 (86 Eighty Six),Spring 2021,2021,Ending Theme,Avid,SawanoHiroyuki[nZk]_mizuki,https://open.spotify.com/track/2zWT0EPiVzC7MH7yggiK5Y,
45,86 (86 Eighty Six),Spring 2021,2021,Ending Theme,Hands Up to the Sky,SawanoHiroyuki[nZk]_Laco,https://open.spotify.com/track/7kiWVIA95A2H7TMYSrA0b5,
46,86 Part 2 (86 Eighty-Six Part 2),Fall 2021,2021,Opening Theme,Kyoukaisen (境界線),amazarashi,https://open.spotify.com/track/48JYYEXKNZdXuDdZvkRvaQ,
47,86 Part 2 (86 Eighty-Six Part 2),Fall 2021,2021,Ending Theme,LilaS,SawanoHiroyuki[nZk]_Honoka Takahashi, ,
48,86 Part 2 (86 Eighty-Six Part 2),Fall 2021,2021,Ending Theme,Kyoukaisen (境界線),amazarashi,https://open.spotify.com/track/48JYYEXKNZdXuDdZvkRvaQ,
49,86 Part 2 (86 Eighty-Six Part 2),Fall 2021,2021,Ending Theme,Alchemilla (アルケミラ),Regal Lily,https://open.spotify.com/track/1QBkrW9kGVFGHd1eS2Hsiw,
50,Accel World,Spring 2012,2012,Opening Theme,Chase the world,May'n ,https://open.spotify.com/track/1xAjcHiQRXrrduJeoYRXLG,
51,Accel World,Spring 2012,2012,Opening Theme,Burst The Gravity,ALTIMA ,https://open.spotify.com/track/3NwZiUT9Lszf0IczocMJYW,
52,Accel World,Spring 2012,2012,Ending Theme,Chase the world,May'n ,https://open.spotify.com/track/1xAjcHiQRXrrduJeoYRXLG,
53,Accel World,Spring 2012,2012,Ending Theme,→unfinished→,KOTOKO ,https://open.spotify.com/track/6KU3PYrgp5v5J8nI4FDks8,
54,Accel World,Spring 2012,2012,Ending Theme,Unite (ユナイト),Sachika Misawa,https://open.spotify.com/track/2bVBz0uRaApgt8o2GNNc6E,
55,Accel World EX,,1900,Opening Theme,Chase the world,May'n,https://open.spotify.com/track/1xAjcHiQRXrrduJeoYRXLG,
56,Accel World EX,,1900,Opening Theme,Burst The Gravity,ALTIMA,https://open.spotify.com/track/3NwZiUT9Lszf0IczocMJYW,
57,Accel World EX,,1900,Ending Theme,→unfinished→,KOTOKO,https://open.spotify.com/track/6KU3PYrgp5v5J8nI4FDks8,
58,Accel World EX,,1900,Ending Theme,Unite (ユナイト),Sachika Misawa,https://open.spotify.com/track/2bVBz0uRaApgt8o2GNNc6E,
59,Accel World: Acchel World.,,1900,Ending Theme,→unfinished→,KOTOKO,https://open.spotify.com/track/6KU3PYrgp5v5J8nI4FDks8,
60,Accel World: Acchel World.,,1900,Ending Theme,Unite (ユナイト),Sachika Misawa,https://open.spotify.com/track/2bVBz0uRaApgt8o2GNNc6E,
61,Accel World: Infinite∞Burst,,1900,Ending Theme,PLASMIC FIRE,KOTOKO × ALTIMA,https://open.spotify.com/track/7meId5OHVJOYOaX8gSFUQh,
62,Adachi to Shimamura (Adachi and Shimamura),Fall 2020,2020,Opening Theme,Kimi ni Aeta Hi (君に会えた日),Adachi (Akari Kitou) & Shimamura (Miku Itou),https://open.spotify.com/track/7IF6RrCW5z0U4WxLu8BFFG,
63,Adachi to Shimamura (Adachi and Shimamura),Fall 2020,2020,Ending Theme,Kimi no Tonari de (キミのとなりで),Akari Kitou,https://open.spotify.com/track/1CFuvvD7OzO65MldvBdHEk,
64,Akame ga Kill!,Summer 2014,2014,Opening Theme,Skyreach,Sora Amamiya,https://open.spotify.com/track/427vfPt3SW5ZhtCqwajhaT,
65,Akame ga Kill!,Summer 2014,2014,Opening Theme,LIAR MASK,Rika Mayama,https://open.spotify.com/track/17gqkmWPppwlxIZLxTWzVy,
66,Akame ga Kill!,Summer 2014,2014,Ending Theme,"Konna Sekai, Shiritakunakatta_ (こんな世界、知りたくなかった。)",Miku Sawai,https://open.spotify.com/track/2p2cnsHFijYA3SJoHxDJ33,
67,Akame ga Kill!,Summer 2014,2014,Ending Theme,Tsuki Akari (月灯り),Sora Amamiya,https://open.spotify.com/track/3RARuWwpZZSgEdUzngAxdD,
68,Akanesasu Shoujo (The Girl in Twilight),Fall 2018,2018,Opening Theme,Soranetarium (ソラネタリウム),MICHI,https://open.spotify.com/track/1AACbeN2ZHvLWZM83cc1BY,
69,Akanesasu Shoujo (The Girl in Twilight),Fall 2018,2018,Ending Theme,Kowarekake no Radio (壊れかけのRadio),Ami Wajima,https://open.spotify.com/track/61qPtAAHqzUMBgDe3JhJf3,
70,Akatsuki no Yona (Yona of the Dawn),Fall 2014,2014,Opening Theme,Akatsuki no Yona (暁のヨナ),Kunihiko Ryo,https://open.spotify.com/track/3EyWHf7bkEK2FtkXTjq5bh,
71,Akatsuki no Yona (Yona of the Dawn),Fall 2014,2014,Opening Theme,Akatsuki no Hana (暁の華),Cyntia,https://open.spotify.com/track/540oiI1aRTEd0SOu6VtmXK,
72,Akatsuki no Yona (Yona of the Dawn),Fall 2014,2014,Ending Theme,Yoru (夜),vistlip,https://open.spotify.com/track/7dHvtKlOWgaCZriKrSLdd7,
73,Akatsuki no Yona (Yona of the Dawn),Fall 2014,2014,Ending Theme,Akatsuki (暁),Akiko Shikata, ,
74,Akatsuki no Yona OVA (Yona of the Dawn OVA),,1900,Ending Theme,Egao no Rensa (笑顔の連鎖),Cyntia, ,
75,Akatsuki no Yona OVA (Yona of the Dawn OVA),,1900,Ending Theme,Akatsuki (暁),Akiko Shikata, ,
76,Akiba Meido Sensou (Akiba Maid War),Fall 2022,2022,Opening Theme,Maid Daikaiten (メイド大回転),the Ton Tokoton staff, ,
77,Akiba Meido Sensou (Akiba Maid War),Fall 2022,2022,Ending Theme,Maid no Komoriuta (冥途の子守唄),Ranko Mannen (CV_ Rina Sato), ,
78,Akira,,1900,Ending Theme,Kaneda,Geinoh Yamashiro-gumi, ,
79,Akkun to Kanojo (My Sweet Tyrant),Spring 2018,2018,Opening Theme,Koi no Balloon (恋のバルーン),Haruna Ooshima (大島はるな), ,
80,Akkun to Kanojo (My Sweet Tyrant),Spring 2018,2018,Opening Theme,We☆Pace!!,Haruna Ooshima feat_ Ebisu coffret (大島はるな feat_恵比寿coffret), ,
81,Akkun to Kanojo (My Sweet Tyrant),Spring 2018,2018,Ending Theme,Koi no Balloon (恋のバルーン),Haruna Ooshima (大島はるな), ,
