AnimeTitle,ID,Status
"""Bungaku Shoujo"" Movie",6408,Plan to Watch
001,29978,Completed
00:08,28761,Completed
100-man no Inochi no Ue ni Ore wa Tatteiru,41380,Completed
100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,44881,Completed
2.43: Seiin Koukou Danshi Volley-bu,40679,Completed
22/7,40148,Completed
22/7: 8＋3=?,40924,Completed
3-gatsu no Lion,31646,Completed
3-gatsu no Lion 2nd Season,35180,Completed
3D Kanojo: Real Girl,36793,Completed
3D Kanojo: Real Girl 2nd Season,37956,Completed
4-nin wa Sorezore Uso wo Tsuku,51464,Watching
5-toubun no Hanayome,38101,Completed
5-toubun no Hanayome ∬,39783,Completed
5-toubun no Hanayome Movie,48548,Completed
86,41457,Completed
86 Part 2,48569,Completed
A.I.C.O.: Incarnation,36039,Plan to Watch
Accel World,11759,Completed
Accel World EX,13939,Completed
Accel World: Acchel World.,13859,Completed
Accel World: Infinite∞Burst,31763,Completed
Adachi to Shimamura,39790,Completed
Akame ga Kill!,22199,Completed
Akanesasu Shoujo,37561,Completed
Akatsuki no Yona,25013,Completed
Akatsuki no Yona OVA,30370,Completed
Akiba Meido Sensou,52193,Watching
Akiba's Trip The Animation,34051,Plan to Watch
Akira,47,Completed
Akkun to Kanojo,36864,Completed
Aku no Hana,16201,Plan to Watch
Akudama Drive,41433,Completed
Akuyaku Reijou nano de Last Boss wo Kattemimashita,49979,Watching
Aldnoah.Zero,22729,Completed
Aldnoah.Zero Part 2,27655,Completed
Alice in Deadly School,33839,Completed
Amaama to Inazuma,32828,Plan to Watch
Ame wo Tsugeru Hyouryuu Danchi,49938,Completed
Ange Vierge,32171,Completed
Angel Beats!,6547,Completed
Angel Beats! Another Epilogue,10067,Completed
Angel Beats! Specials,9062,Completed
Anima Yell!,37206,Completed
Anima Yell! Ouen Douga,38803,Completed
Another,11111,Completed
Another: The Other - Inga,11701,Completed
Ansatsu Kyoushitsu,24833,Completed
Ansatsu Kyoushitsu 2nd Season,30654,Completed
Ansatsu Kyoushitsu: 365-nichi no Jikan,33513,Completed
Ansatsu Kyoushitsu: Deai no Jikan,28405,Completed
Ansatsu Kyoushitsu: Jump Festa 2013 Special,19759,Completed
Answer (2016),34611,Completed
Ao no 6-gou,1051,Plan to Watch
Aoi Bungaku Series,7193,Plan to Watch
Appare-Ranman!,40532,Completed
Araburu Kisetsu no Otome-domo yo.,38753,Completed
Aragne no Mushikago,34974,Completed
Arcade Gamer Fubuki,1596,Plan to Watch
Aria the Animation,477,Plan to Watch
Arifureta Shokugyou de Sekai Saikyou,36882,Completed
Arifureta Shokugyou de Sekai Saikyou Recap,40239,Completed
Arifureta Shokugyou de Sekai Saikyou Specials,40083,Completed
Arslan Senki (TV),28249,Completed
Arslan Senki (TV) Gaiden,33254,Completed
Arslan Senki (TV): Fuujin Ranbu,31821,Completed
Arslan Senki (TV): Tsuioku no Shou - Dakkan no Yaiba,31128,Completed
Arte,40128,Completed
Aru Asa Dummy Head Mic ni Natteita Ore-kun no Jinsei,52381,Watching
Asagao to Kase-san.,36214,Completed
Asatir: Mirai no Mukashi Banashi,41558,Completed
Ashita Sekai ga Owaru toshitemo,38464,Dropped
Asobi Asobase,37171,Completed
Asobi Asobase Specials,38002,Completed
Asobi Asobase: Cosplay Taikai/Otona no Watashi e,37996,Completed
Assassins Pride,38572,Completed
Assault Lily: Bouquet,40550,Completed
Aura: Maryuuin Kouga Saigo no Tatakai,14669,Plan to Watch
Azur Lane,38328,Completed
Azur Lane Recap,40712,Completed
Azur Lane: Bisoku Zenshin!,40930,Completed
B-gata H-kei,7817,Plan to Watch
B: The Beginning,32827,Completed
Baby Steps,21185,Plan to Watch
Babylon,37525,Completed
Back Arrow,40964,Completed
Back Street Girls: Gokudolls,36873,Completed
Bakemono no Ko,28805,Completed
Bakuten!!,43756,Completed
Ballroom e Youkoso,34636,Completed
Banana Fish,36649,Completed
Bartender,1589,Plan to Watch
