anime,season,year,category,songname,artist,link,status
100-man no Inochi no Ue ni Ore wa Tatteiru,Fall 2020,2020,Opening Theme,Anti world,Kanako Takatsuki,https://open.spotify.com/track/47mtXCSExRrKA9cYGuiftZ,
100-man no Inochi no Ue ni Ore wa Tatteiru,Fall 2020,2020,Ending Theme,Carpe・Diem (カルペ・ディエム),Liyuu,https://open.spotify.com/track/2MtalMSV45ThxAF7l3kRgD,
100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,Summer 2021,2021,Opening Theme,Baddest,Kaede Higuchi (樋口楓),https://open.spotify.com/track/0XMsMnaW0zceeFuhQZAQkf,
100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,Summer 2021,2021,Ending Theme,Subversive,Kanako Takatsuki (高槻かなこ),https://open.spotify.com/track/1zJreL7IUwnJRBigeIBvD0,
2.43: Seiin Koukou Danshi Volley-bu,Winter 2021,2021,Opening Theme,Mahi (麻痺),yama,https://open.spotify.com/track/1LwSnnsoKcAUv9TPFEZ7iQ,
2.43: Seiin Koukou Danshi Volley-bu,Winter 2021,2021,Ending Theme,Undulation,Soushi Sakiyama (崎山蒼志),https://open.spotify.com/track/3WcLxnWX9JXQjT5idrcQA2,
22-Jul,Winter 2020,2020,Opening Theme,Muzui (ムズイ),22-Jul,https://open.spotify.com/track/6WgPTB2vJe3BuRI86rULNb,
22-Jul,Winter 2020,2020,Ending Theme,Sora no Emerald (空のエメラルド),22-Jul,https://open.spotify.com/track/1wPwvkMMClSdTm3wCHv6qh,
22-Jul,Winter 2020,2020,Ending Theme,One of them,Miu Takigawa (Nagomi Saijou), ,
22-Jul,Winter 2020,2020,Ending Theme,Ikiru koto ni Raku ni Naritai (生きることに楽になりたい),Sakura Fujima (Sally Amaki), ,
22-Jul,Winter 2020,2020,Ending Theme,Yume no Fune (夢の船),Miyako Kouno (Mizuha Kuraoka), ,
22-Jul,Winter 2020,2020,Ending Theme,Yuutousei ja Tsumaranai (優等生じゃつまらない),Reika Satou (Chiharu Hokaze), ,
22-Jul,Winter 2020,2020,Ending Theme,Jinsei wa Waltz (人生はワルツ),Jun Toda (Ruri Umino), ,
22-Jul,Winter 2020,2020,Ending Theme,Kanjou Muyouron (感情無用論),Akane Maruyama (Kanae Shirosawa), ,
22-Jul,Winter 2020,2020,Ending Theme,Moonlight,Ayaka Tachikawa (Reina Miyase), ,
22-Jul,Winter 2020,2020,Ending Theme,Kodoku wa Kirai ja Nai (孤独は嫌いじゃない),Nicole Saitou (Uta Kawase), ,
22/7: 8＋3=?,,1900,Opening Theme,Muzui (ムズイ),22-Jul,https://open.spotify.com/track/3fhI9lYtaBxLV0aCMbLfnu,
22/7: 8＋3=?,,1900,Ending Theme,Kamisama ni Yubi wo Sasareta Bokutachi (神様に指を差された僕たち),"Mikami Kamiki (CV: Moe Suzuhana), Yuuki Toujou (CV: Urara Takatsuji), Tsubomi Hiiragi (CV: Aina Takeda)", ,
3-gatsu no Lion (March Comes In Like a Lion),Fall 2016,2016,Opening Theme,Answer (アンサー),BUMP OF CHICKEN,https://open.spotify.com/track/6laONlj9zCF3hPNsQUePM6,
3-gatsu no Lion (March Comes In Like a Lion),Fall 2016,2016,Opening Theme,Sayonara Bystander (さよならバイスタンダー),YUKI,https://open.spotify.com/track/0dPJjld18Wi15ymcrDCG6u,
3-gatsu no Lion (March Comes In Like a Lion),Fall 2016,2016,Ending Theme,Fighter (ファイター),BUMP OF CHICKEN,https://open.spotify.com/track/6QTvkIUU6qlxKbzqxYbrqh,
3-gatsu no Lion (March Comes In Like a Lion),Fall 2016,2016,Ending Theme,Nyaa Shougi Ondo (ニャー将棋音頭),"Hinata (Kana Hanazawa), Akari (Ai Kayano), Momo (Misaki Kuno)", ,
3-gatsu no Lion (March Comes In Like a Lion),Fall 2016,2016,Ending Theme,orion,Kenshi Yonezu (米津 玄師),https://open.spotify.com/track/1bIZxrSkbxatnTo8ObcIxX,
3-gatsu no Lion 2nd Season (March Comes In Like a Lion 2nd Season),Fall 2017,2017,Opening Theme,Flag wo Tatero (フラッグを立てろ),YUKI,https://open.spotify.com/track/1D4deoqHs8nQ4oS08IdXI8,
3-gatsu no Lion 2nd Season (March Comes In Like a Lion 2nd Season),Fall 2017,2017,Opening Theme,Haru ga Kite Bokura (春が来てぼくら),UNISON SQUARE GARDEN,https://open.spotify.com/track/1hbTYIALy6ZKUraynVquOk,
3-gatsu no Lion 2nd Season (March Comes In Like a Lion 2nd Season),Fall 2017,2017,Ending Theme,Kafune (カフネ),Brian the Sun,https://open.spotify.com/track/2QI8wQYMuPaOI1GBAH5eaW,
3-gatsu no Lion 2nd Season (March Comes In Like a Lion 2nd Season),Fall 2017,2017,Ending Theme,I AM STANDING,RUANN,https://open.spotify.com/track/4R9W8aH6fHTc8VaUgu72Ol,
3D Kanojo: Real Girl (Real Girl),Spring 2018,2018,Opening Theme,Daiji na Koto (だいじなこと),Quruli,https://open.spotify.com/track/1IxKVKHJq31OqdeibxB6aO,
3D Kanojo: Real Girl (Real Girl),Spring 2018,2018,Ending Theme,HiDE the BLUE,BiSH,https://open.spotify.com/track/7p4HUrX56eDEYiitt4jNUK,
3D Kanojo: Real Girl 2nd Season (Real Girl Season 2),Winter 2019,2019,Opening Theme,Futari nara (二人なら),BiSH, ,
3D Kanojo: Real Girl 2nd Season (Real Girl Season 2),Winter 2019,2019,Ending Theme,Hagan (破顔),Fujifabric,https://open.spotify.com/track/3fqyaPH3E5vIhhjW4Fqybi,
